Movie,TMDb ID
12 Angry Men,389.0
2001: A Space Odyssey,62.0
"The Adventures of Priscilla, Queen of the Desert",2759.0
The Adventures of Robin Hood,10907.0
Airplane!,813.0
Akira,149.0
Alien,348.0
Aliens,679.0
All About Eve,705.0
All About My Mother,99.0
All the President's Men,891.0
Almost Famous,786.0
Amadeus,279.0
Amour,86837.0
An American in Paris,2769.0
Annie Hall,703.0
The Apartment,284.0
Apocalypse Now,28.0
Avengers: Endgame,299534.0
Back to the Future,105.0
Badlands,3133.0
Beauty and the Beast,321612.0
Being John Malkovich,492.0
Being There,10322.0
The Best Years of Our Lives,887.0
Better Luck Tomorrow,14290.0
The Big Lebowski,115.0
The Big Sick,416477.0
Birdman or (The Unexpected Virtue of Ignorance),194662.0
Black Hawk Down,855.0
Black Orpheus,40423.0
Black Panther,284054.0
Blade Runner,78.0
Blazing Saddles,11072.0
Boogie Nights,4995.0
Boys Don't Cry,226.0
Boyz n the Hood,650.0
The Breakfast Club,2108.0
Bridesmaids,55721.0
The Bridge on the River Kwai,826.0
Bridget Jones's Diary,634.0
Broadcast News,12626.0
Brokeback Mountain,142.0
Butch Cassidy and the Sundance Kid,642.0
Cabaret,10784.0
Call Me by Your Name,398818.0
Carol,258480.0
Casablanca,289.0
Casino Royale,36557.0
Children of Men,9693.0
Chinatown,829.0
City of God,598.0
Cinema Paradiso,11216.0
Citizen Kane,15.0
City Lights,901.0
Clerks,2292.0
A Clockwork Orange,185.0
Clueless,9603.0
Coco,354912.0
Crazy Rich Asians,455207.0
Creed,312221.0
"Crouching Tiger, Hidden Dragon",146.0
The Dark Knight,155.0
Dawn of the Dead,924.0
The Day the Earth Stood Still,10200.0
Dazed and Confused,9571.0
Dead Poets Society,207.0
Die Hard,562.0
Do the Right Thing,925.0
Doctor Zhivago,907.0
Dog Day Afternoon,968.0
Don't Look Now... We're Being Shot At!,8290.0
Double Indemnity,996.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935.0
Dracula,11868.0
Drive,64690.0
Drunken Master III,66018.0
Duck Soup,3063.0
E.T. the Extra-Terrestrial,601.0
Easy Rider,624.0
Edward Scissorhands,162.0
Election,9451.0
The Elephant Man,1955.0
Enter the Dragon,9461.0
Eternal Sunshine of the Spotless Mind,38.0
Evil Dead II,765.0
The Exorcist,9552.0
The Farewell,565310.0
Fargo,275.0
Fast Five,51497.0
Fast Times at Ridgemont High,13342.0
Fight Club,550.0
Fish Tank,24469.0
Forbidden Planet,830.0
Four Weddings and a Funeral,712.0
Frankenstein,3035.0
The French Connection,1051.0
Frida,1360.0
Gallipoli,11646.0
Gandhi,783.0
Gattaca,782.0
Get Out,419430.0
Ghost in the Shell,9323.0
Ghostbusters,43074.0
Girls Trip,417870.0
The Godfather,238.0
The Godfather Part II,240.0
Godzilla,124905.0
"The Good, the Bad and the Ugly",429.0
GoodFellas,769.0
The Grand Budapest Hotel,120467.0
The Grapes of Wrath,596.0
Grease,621.0
The Great Escape,5925.0
Groundhog Day,137.0
Guardians of the Galaxy Vol. 3,447365.0
Hairspray,2976.0
Halloween,2082.0
A Hard Day's Night,704.0
Harold and Maude,343.0
Harry Potter and the Prisoner of Azkaban,673.0
The Hate U Give,470044.0
Heat,949.0
Heathers,2640.0
Hedwig and the Angry Inch,13403.0
Hero,10699.0
High Noon,288.0
The Hunt,514847.0
Ikiru,3782.0
In the Heat of the Night,10633.0
In the Mood for Love,843.0
Inception,27205.0
Inglourious Basterds,16869.0
Inside Out,150540.0
The Iron Giant,10386.0
Iron Man,1726.0
It Happened One Night,3078.0
It's a Wonderful Life,1585.0
Jaws,578.0
John Wick,245891.0
Jurassic Park,329.0
King Kong,254.0
L.A. Confidential,2118.0
La Bamba,16620.0
La Dolce Vita,439.0
Lady Bird,391713.0
The Lady Eve,3086.0
Lawrence of Arabia,947.0
Let the Right One In,13310.0
Lethal Weapon,941.0
Like Water for Chocolate,1011397.0
The Lion King,8587.0
The Little Mermaid,447277.0
Little Shop of Horrors,10776.0
Logan,263115.0
The Lord of the Rings: The Fellowship of the Ring,120.0
The Lord of the Rings: The Return of the King,122.0
The Lord of the Rings: The Two Towers,121.0
Lost in Translation,153.0
Love & Basketball,14736.0
Mad Max: Fury Road,76341.0
Malcolm X,1883.0
The Maltese Falcon,963.0
The Manchurian Candidate,14462.0
The Matrix,603.0
Mean Girls,10625.0
Metropolis,19.0
Modern Times,3082.0
Monsoon Wedding,480.0
Moonlight,376867.0
My Left Foot: The Story of Christy Brown,10161.0
My Neighbor Totoro,8392.0
Naked,433251.0
Nashville,3121.0
Unseen + Untold: National Lampoon's Animal House,154227.0
Network,10774.0
The Night of the Hunter,3112.0
Night of the Living Dead,10331.0
A Nightmare on Elm Street,377.0
No Country for Old Men,6977.0
North by Northwest,213.0
Notting Hill,509.0
Oldboy,87516.0
On the Waterfront,654.0
One Flew Over the Cuckoo's Nest,510.0
Only Yesterday,15080.0
Pan's Labyrinth,1417.0
Parasite,48311.0
The Passion of Joan of Arc,780.0
The Philadelphia Story,981.0
The Piano,713.0
Pinocchio,10895.0
Pitch Perfect,114150.0
The Player,10403.0
PlayTime,10227.0
Portrait of a Lady on Fire,531428.0
Pretty in Pink,11522.0
The Princess Bride,2493.0
Princess Mononoke,128.0
Psycho,539.0
Pulp Fiction,680.0
Rafiki,517987.0
Raging Bull,1578.0
Raiders of the Lost Ark,85.0
Rashomon,548.0
Rear Window,567.0
Repo Man,13820.0
Requiem for a Dream,641.0
RoboCop,5548.0
Rocky,1366.0
Roman Holiday,804.0
Rosemary's Baby,805.0
The Rules of the Game,776.0
Saving Face,19316.0
Saving Private Ryan,857.0
Scarface,111.0
Schindler's List,424.0
Scream,646385.0
The Sea Inside,1913.0
The Searchers,3114.0
Selma,273895.0
SEVEN,754137.0
Seven Samurai,346.0
The Seventh Seal,490.0
Shaft,486131.0
Shaun of the Dead,747.0
The Shawshank Redemption,278.0
The Shining,694.0
Shoplifters,1391581.0
Shrek,808.0
The Silence of the Lambs,274.0
Singin' in the Rain,872.0
The Sixth Sense,745.0
Slumdog Millionaire,12405.0
Snow White and the Seven Dwarfs,408.0
Solaris,2103.0
Some Like It Hot,239.0
The Sound of Music,15121.0
Spider-Man: Into the Spider-Verse,324857.0
Spirited Away,129.0
Star Wars,11.0
The Empire Strikes Back,1891.0
Straight Outta Compton,277216.0
Sunset Boulevard,599.0
Superbad,8363.0
Suspiria,11906.0
The Tale of The Princess Kaguya,149871.0
Tangerine,308084.0
Taxi Driver,103.0
The Terminator,218.0
Terminator 2: Judgment Day,280.0
Thelma & Louise,1541.0
There Will Be Blood,7345.0
The Thing,1091.0
The Third Man,1092.0
This Is Spinal Tap,11031.0
Titanic,597.0
To Be or Not to Be,198.0
To Kill a Mockingbird,595.0
Tokyo Story,18148.0
Tootsie,9576.0
Total Recall,64635.0
Toy Story,862.0
Trainspotting,627.0
The Treasure of the Sierra Madre,3090.0
The Umbrellas of Cherbourg,5967.0
Uncut Gems,473033.0
Unforgiven,33.0
Vertigo,426.0
Volver,219.0
Wendy and Lucy,8942.0
West Side Story,511809.0
What's Love Got to Do with It,15765.0
The Wild Bunch,576.0
Wild Strawberries,614.0
The Wizard of Oz,630.0
Wonder Woman,297762.0
Y Tu MamÃ¡ TambiÃ©n,1391.0
Your Sister's Sister,84355.0
Zero Dark Thirty,97630.0
The Straight Story,404.0
The Insider,9008.0
Toy Story 2,863.0
Chicken Run,7443.0
Yi Yi,25538.0
Running Out of Time,2463.0
The Dish,5257.0
"Monsters, Inc.",585.0
Spellbound,592983.0
Read My Lips,6173.0
The Man Without a Past,7294.0
Bowling for Columbine,1430.0
Catch Me If You Can,640.0
The Pianist,423.0
Raising Victor Vargas,25461.0
Winged Migration,11516.0
Sweet Sixteen,1376.0
Finding Nemo,12.0
Osama,14757.0
Control Room,18889.0
Before Sunset,80.0
Maria Full of Grace,436.0
Sideways,9675.0
The Incredibles,9806.0
Murderball,14278.0
The Queen,1165.0
Taxi to the Dark Side,13362.0
"4 Months, 3 Weeks and 2 Days",2009.0
Once,5723.0
Ratatouille,2062.0
No End in Sight,12901.0
The King of Kong: A Fistful of Quarters,13958.0
The Band's Visit,5259.0
Persepolis,2011.0
Man on Wire,14048.0
Waltz with Bashir,8885.0
The Wrestler,12163.0
Revenge,455531.0
Up,14160.0
The Hurt Locker,12162.0
An Education,24684.0
A Prophet,21575.0
mother!,381283.0
How to Train Your Dragon,10191.0
Toy Story 3,10193.0
Animal Kingdom,44629.0
The Social Network,37799.0
Inside Job,44639.0
The King's Speech,45269.0
True Grit,44264.0
Cave of Forgotten Dreams,59490.0
13 Assassins,58857.0
